turnover_id,Client_ID,Partner_ID,Currency_ID,Game_ID,Provider_ID,Product_ID,Is_RakeTransaction,Is_Calculated,Is_Rollbacked,Is_Bonus,Bet_Amount,Win_Amount,BonusBet_Amount,BonusWin_Amount,RakeBet_Amount,RakeWin_Amount,BetAmountIn_EUR,WinAmountIn_EUR,BonusBetAmountIn_EUR,BonusWinAmountIn_EUR,RakeBetAmountIn_EUR,RakeWinAmountIn_EUR
331,176,4,Currency C,335,337,441,FALSE,TRUE,FALSE,FALSE,50000,0,0,0,0,0,35.73745,0,0,0,0,0
332,176,4,Currency C,335,337,441,FALSE,TRUE,FALSE,FALSE,163000,0,0,0,0,0,116.504087,0,0,0,0,0
333,176,4,Currency C,335,337,441,FALSE,TRUE,FALSE,FALSE,153750,68750,0,0,0,0,109.8926588,49.13899375,0,0,0,0
334,142,4,Currency C,335,337,441,FALSE,TRUE,FALSE,FALSE,1250,0,0,0,0,0,0.89343625,0,0,0,0,0
335,168,4,Currency C,336,337,441,FALSE,TRUE,FALSE,FALSE,5500,0,0,0,0,0,3.9311195,0,0,0,0,0
336,150,4,Currency C,337,332,441,FALSE,TRUE,FALSE,FALSE,1537500,2546250,0,0,0,0,1098.926588,1819.929641,0,0,0,0
337,116,4,Currency C,338,337,441,FALSE,TRUE,FALSE,FALSE,54000,12500,0,0,0,0,38.596446,8.9343625,0,0,0,0
338,116,4,Currency C,338,337,441,FALSE,TRUE,FALSE,FALSE,135000,224125,0,0,0,0,96.491115,160.1931196,0,0,0,0
339,172,4,Currency C,338,337,441,FALSE,TRUE,FALSE,FALSE,819000,544750,0,0,0,0,585.379431,389.3595178,0,0,0,0
340,172,4,Currency C,338,337,441,FALSE,TRUE,FALSE,FALSE,789000,1307500,0,0,0,0,563.936961,934.5343175,0,0,0,0
341,142,4,Currency C,338,337,441,FALSE,TRUE,FALSE,FALSE,708000,470875,0,0,0,0,506.042292,336.5574355,0,0,0,0
342,116,4,Currency C,339,357,444,FALSE,TRUE,FALSE,FALSE,1750,2000,0,0,0,0,1.25081075,1.429498,0,0,0,0
343,116,4,Currency C,339,357,444,FALSE,TRUE,FALSE,FALSE,3400,2650,0,0,0,0,2.4301466,1.89408485,0,0,0,0
344,178,6,Currency C,340,358,443,FALSE,TRUE,FALSE,FALSE,558000,75400,0,0,0,0,400.623354,54.1344102,0,0,0,0
345,112,5,Currency A,341,359,441,FALSE,TRUE,FALSE,TRUE,650,0,650,2050,0,0,7.43646215,0,7.43646215,23.45345755,0,0
346,112,5,Currency A,342,337,441,FALSE,TRUE,FALSE,TRUE,750,0,750,750,0,0,8.58053325,0,8.58053325,8.58053325,0,0
347,112,5,Currency A,343,332,441,FALSE,TRUE,FALSE,TRUE,750,0,750,1000,0,0,8.58053325,0,8.58053325,11.440711,0,0
348,112,5,Currency A,344,334,441,FALSE,TRUE,FALSE,TRUE,3600,0,3600,3340,0,0,41.1865596,0,41.1865596,38.21197475,0,0
349,112,5,Currency A,344,334,441,FALSE,TRUE,FALSE,TRUE,2900,0,2900,1640,0,0,33.1780619,0,33.1780619,18.76276604,0,0
350,111,5,Currency A,221,331,441,FALSE,TRUE,FALSE,FALSE,450.75,405.75,0,0,0,0,5.156900483,4.642068488,0,0,0,0
351,179,7,Currency C,296,337,441,FALSE,TRUE,FALSE,FALSE,7250,6000,0,0,0,0,5.18193025,4.288494,0,0,0,0
352,180,5,Currency A,345,337,441,FALSE,TRUE,FALSE,FALSE,100,300,0,0,0,0,1.1440711,3.4322133,0,0,0,0
353,181,5,Currency A,341,359,441,FALSE,TRUE,FALSE,FALSE,100,0,0,0,0,0,1.1440711,0,0,0,0,0
354,181,5,Currency A,346,359,441,FALSE,TRUE,FALSE,FALSE,200,0,0,0,0,0,2.2881422,0,0,0,0,0
355,182,5,Currency A,347,351,441,FALSE,TRUE,FALSE,FALSE,200,400,0,0,0,0,2.2881422,4.5762844,0,0,0,0
356,181,5,Currency A,348,360,441,FALSE,TRUE,FALSE,FALSE,200,276,0,0,0,0,2.2881422,3.157636235,0,0,0,0
357,183,5,Currency A,349,351,441,FALSE,TRUE,FALSE,FALSE,200,62.5,0,0,0,0,2.2881422,0.715044438,0,0,0,0
358,184,5,Currency A,350,337,441,FALSE,TRUE,FALSE,FALSE,300,0,0,0,0,0,3.4322133,0,0,0,0,0
